@ref(networkElement)|@const(IpagPPort)class
@index(CE_PPort)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|port_aid|port_ipaddr|port_num|product_type|remote_device_name|remote_device_type|remote_device_ipaddr|remote_deviceloopbackip|remote_slot_name|remote_port_aid|slavlan|cdnbind|uni_nni|aafda_role|acnaban|assoc_nni_pport|clci|clfi|diverse_circuit_id|device_type|ineffect|mpa_connect_type|nmvlan
10.204.82.198/1|10.204.82.198/1|10.204.82.198/1|NTE-CFO|IPAG|NTE|true|S|1||1||||||||||UNI|||25|17/KRGN/565439/NV|||CIENA NTE|Y||
10.204.82.85/25|10.204.82.85/25|10.204.82.85/25|NFO-MOBILITY|NTE|NTE|true|S|25||1||CRCYNVAAJ3D|JUNIPER MX SERIES|12.122.123.50|12.123.80.236||ge-0/0/8|||NNI|||||JU101/GE1N/CRCYNVAAAKG/CRCYNVAAJ3D||CIENA NTE|N||4092
10.204.81.101/25|10.204.81.101/25|10.204.81.101/25|NFO-MOBILITY|NTE|NTE|true|S|25||1||SNJSCAHUDK3|JUNIPER MX SERIES|12.122.122.250|12.123.80.214||ge-4/0/6|||NNI|||||JU101/GE1N/SNJSCAHUDK3/SNJSCAHU90Y||CIENA NTE|N||4092
10.204.200.127/9|10.204.200.127/9|10.204.200.127/9|NFO-MOBILITY|NTE|NTE|true|S|9||1||SNJSCAGS0AW|JUNIPER MX SERIES|10.204.243.181|143.0.24.44||ge-0/3/8|||NNI|||||JU101/GE1N/SNJSCAGS0AW/SNJSCAKSW01||CIENA NTE|N||4092
10.204.83.93/23|10.204.83.93/23|10.204.83.93/23|NFO-EMUX|EMUX|NTE|true|S|23||1||CRCYNVMAA01|JUNIPER MX SERIES|10.204.241.254|150.0.0.212||ge-0/0/6|||NNI|||||103/GE1N/CRCYNVMAA01/CRCYNVMAA42||CIENA EMUX|||
10.204.144.111/9|10.204.144.111/9|10.204.144.111/9|NFO-MOBILITY|NTE|NTE|true|B|9||1||GSVLFLAN2EW|JUNIPER MX SERIES|10.204.244.59|143.0.24.144||ge-0/0/0|||NNI|||||JU101/GE1N/GSVLFLAN1YW/GSVLFLAN2EW||CIENA NTE|N||4092
10.204.90.159/27|10.204.90.159/27|10.204.90.159/27|NTE-CFO|IPAG|NTE|true|S|27||0||||||||||UNI|||25|54/NIAV/300910/MC|||CIENA NTE|Y||
10.204.90.130/25|10.204.90.130/25|10.204.90.130/25|NFO-MOBILITY|NTE|NTE|true|S|25||1||CRCYNVAA56W|JUNIPER MX SERIES|12.81.161.160|8.8.0.154||ge-5/0/3|||NNI|||||A101Z/GE1N/CRCYNVAA56W/CRCYNVHD3AW||CIENA NTE|N||
135.16.241.32/23|135.16.241.32/23|135.16.241.32/23|NTE-CFO|IPAG|NTE|true|B|23||23||||||||||UNI|||25|85/KQGN/100124/SB|||CIENA NTE|Y||
10.204.90.84/22|10.204.90.84/22|10.204.90.84/22|NFO-EMUX|EMUX|NTE|true|S|22||0||CRCYNVMAIP1|JUNIPER MX SERIES|12.81.161.125|8.8.0.131|||||NNI|||||102/GE1N/CRCYNVMAEX1/CRCYNVMAIP1||CIENA EMUX|||
10.204.201.32/22|10.204.201.32/22|10.204.201.32/22|NFO-EMUX|EMUX|NTE|true|B|22||0||RLGHNCMA421|JUNIPER MX SERIES|10.204.247.31|12.80.72.34||ge-0/3/0|||NNI|||||D101L/GE1N/ORLDFL24ZX3/RLGHNCMA421||CIENA EMUX|||
10.204.9.194/1|10.204.9.194/1|10.204.9.194/1|NFO-MOBILITYUNI|NTE|NTE|true|B|1||0||||||||||UNI|||9|51/CHET/822384/CG|||CIENA NTE|Y||
10.204.11.145/8|10.204.11.145/8|10.204.11.145/8|NTE-CFO|IPAG|NTE|true|B|8||8||||||||||UNI|||9|43/KRFN/817201/SB|||CIENA NTE|Y||
10.204.64.193/25|10.204.64.193/25|10.204.64.193/25|NFO-MOBILITY|NTE|NTE|true|B|25||1||CRCYNVAA3IP|JUNIPER MX SERIES|12.122.122.53|12.123.80.27||ge-2/0/3|||NNI|||||P101S/GE1N/CRCYNVAA3IP/ORLDFL32N21||CIENA NTE|Y||
10.204.200.126/1|10.204.200.126/1|10.204.200.126/1|NFO-MOBILITYUNI|NTE|NTE|true|S|1||0||||||||||UNI|||11|12/KSGN/135246/PT|||CIENA NTE|Y||
10.204.90.181/1|10.204.90.181/1|10.204.90.181/1|NFO-MOBILITY|NTE|NTE|true|S|1||1||CRCYNVAA81W|JUNIPER MX SERIES|12.81.161.202|8.8.0.190||ge-3/0/3|||NNI|||||A101V/GE1N/CRCYNVAA81W/CRCYNVHV7BW||CIENA NTE|N||
10.204.9.179/1|10.204.9.179/1|10.204.9.179/1|NFO-MOBILITY|NTE|NTE|true|B|1||0||DYBHFLHU006|CIENA NTE|10.204.9.177|||9|||NNI|||||JU102/GE1N/DYBHFLHU006/DYBHFLMA002||CIENA EMUX|Y||4092
10.204.65.114/27|10.204.65.114/27|10.204.65.114/27|NTE-CFO|IPAG|NTE|true|B|27||0||||||||||UNI|||25|56/DFGF/778958/FG|||CIENA NTE|Y||
10.204.84.238/9|10.204.84.238/9|10.204.84.238/9|NFO-MOBILITY|NTE|NTE|true|S|9||1||CRCYNVMAD01|JUNIPER MX SERIES|10.204.242.115|149.0.3.196||ge-0/2/2|||NNI|||||JU101/GE1N/CRCYNVMAD01/CRCYNVMAZ4R||CIENA NTE|Y||4092
10.204.84.202/1|10.204.84.202/1|10.204.84.202/1|NFO-MOBILITYUNI|NTE|NTE|true|S|1||0||||||||||UNI|||9|23/LPOW/474222/SG|||CIENA NTE|Y||
10.204.81.83/28|10.204.81.83/28|10.204.81.83/28|NTE-CFO|IPAG|NTE|true|S|28||0||||||||||UNI|||25|01/KRFN/200300/SP|||CIENA NTE|Y||
10.204.1.109/6|10.204.1.109/6|10.204.1.109/6|NFO-MOBILITYUNI|NTE|NTE|true|S|6||6||||||||||UNI|||25|35/KQFN/128233/PT|||CIENA NTE|Y||
10.204.9.45/10|10.204.9.45/10|10.204.9.45/10|NFO-MOBILITY|NTE|NTE|true|B|10||1||DYBHFLMAJ23|JUNIPER MX SERIES|10.204.241.86|150.0.0.146||ge-0/2/6|||NNI|||||JU101/GE1N/DYBHFLMAJ23/DYBHFLMAPZ1||CIENA NTE|Y||4092
10.204.84.105/5|10.204.84.105/5|10.204.84.105/5|NTE-CFO|IPAG|NTE|true|S|5||5||||||||||UNI|||9|32/HDED/233221/VS|||CIENA NTE|Y||
10.204.10.185/9|10.204.10.185/9|10.204.10.185/9|NFO-MOBILITY|NTE|NTE|true|B|9||1||DYBHFLMA308|JUNIPER MX SERIES|10.204.243.122|143.0.68.248||ge-0/0/4|||NNI|||||JU101/GE1N/DYBHFLMA308/DYBHFLMA897||CIENA NTE|Y||4092
10.204.200.72/SM-B/1|10.204.200.72/SM-B/1|10.204.200.72/SM-B/1|NFO-TA5000|TA5000|NTE|true|S|1||1||SNJSCA020LW|JUNIPER MX SERIES|12.122.123.126|150.0.0.58||ge-1/0/0|||NNI|||||JU102/GE1N/SNJSCA020LW/SNJSCA020QW||ADTRAN 5000 SERIES|||
10.204.83.130/22|10.204.83.130/22|10.204.83.130/22|NFO-EMUX|EMUX|NTE|true|S|22||1||CRCYNVMAA05|JUNIPER MX SERIES|10.204.242.2|150.0.0.216||ge-1/0/0|||NNI|||||E102F/GE1N/CRCYNVMAA05/CRCYNVMAA46||CIENA EMUX|||
10.204.80.84/25|10.204.80.84/25|10.204.80.84/25|NFO-MOBILITY|NTE|NTE|true|S|25||1||CRCYNVAA3IP|JUNIPER MX SERIES|12.122.122.53|12.123.80.27||ge-1/1/1|||NNI|DA||||G101T/GE1N/CRCYNVAA3IP/CRCYNVHU6LG|G102H/GE1N/CRCYNVAA2IP/CRCYNVHU3LG|CIENA NTE|Y||4092
10.204.83.246/4|10.204.83.246/4|10.204.83.246/4|NTE-CFO|IPAG|NTE|true|S|4||0||||||||||UNI|||9|45/UNIS/838440/RS|||CIENA NTE|Y||
10.204.84.97/25|10.204.84.97/25|10.204.84.97/25|NFO-MOBILITY|NTE|NTE|true|S|25||1||CRCYNVMAH02|JUNIPER MX SERIES|143.1.33.22|143.0.68.35||ge-0/0/2|||NNI|AAF-PRIMARY||||M101N/GE1N/CRCYNVMAH02/CRCYNVMAH10|M101N/GE1N/CRCYNVMAH01/CRCYNVMAH10|CIENA NTE|N||4092
10.204.82.112/2|10.204.82.112/2|10.204.82.112/2|NTE-CFO|IPAG|NTE|true|S|2||2||||||||||UNI|||25|25/UNIF/124545/PU|||CIENA NTE|Y||
10.204.9.192/9|10.204.9.192/9|10.204.9.192/9|NFO-MOBILITY|NTE|NTE|true|B|9||1||DYBHFLMAL08|JUNIPER MX SERIES|10.204.242.143|149.0.3.222||ge-5/0/6|||NNI|||||JU101/GE1N/DYBHFLMAL08/STAGFLMA678||CIENA NTE|Y||4092
10.204.65.143/25|10.204.65.143/25|10.204.65.143/25|NFO-MOBILITY|NTE|NTE|true|B|25||0||STAGFLMACRA|JUNIPER MX SERIES|12.122.122.247|12.123.80.211||ge-0/0/0|||NNI|||||A101Z/GE1N/ORLDFLPHCRB/STAGFLMACRA||CIENA NTE|N||
10.204.84.231/9|10.204.84.231/9|10.204.84.231/9|NFO-MOBILITY|NTE|NTE|true|S|9||1||CRCYNVMAD05|JUNIPER MX SERIES|10.204.242.137|149.0.3.216||ge-4/0/0|||NNI|AAF-PRIMARY||||JU101/GE1N/CRCYNVMAD05/CRCYNVMAD19|JU101/GE1N/CRCYNVMAD09/CRCYNVMAD19|CIENA NTE|Y||4092
10.204.9.204/1|10.204.9.204/1|10.204.9.204/1|NFO-MOBILITYUNI|NTE|NTE|true|B|1||0||||||||||UNI|||9|00/KQGN/160512/JP|||CIENA NTE|Y||
10.204.208.84/25|10.204.208.84/25|10.204.208.84/25|NFO-MOBILITY|NTE|NTE|true|S|25||1||CRCYNVAA1IP|JUNIPER MX SERIES|12.122.122.38|12.123.80.17||ge-2/0/8|||NNI|||||H101T/GE1N/CRCYNVAA1IP/CRCYNVHU9LA||CIENA NTE|Y||4092
10.204.90.143/10|10.204.90.143/10|10.204.90.143/10|NFO-MOBILITY|NTE|NTE|true|S|10||1||CRCYNVAAYU2|JUNIPER MX SERIES|12.81.161.197|8.8.0.185||ge-3/0/2|||NNI|||||101/GE1N/CRCYNVAAYU2/CRCYNVAA125||CIENA NTE|N||
10.204.81.37/28|10.204.81.37/28|10.204.81.37/28|NTE-CFO|IPAG|NTE|true|S|28||0||||||||||UNI|||25|01/KRFN/100200/SB|||CIENA NTE|Y||
10.204.81.20/28|10.204.81.20/28|10.204.81.20/28|NTE-CFO|IPAG|NTE|true|S|28||0||||||||||UNI|||25|02/KRFJ/140311/SB|||CIENA NTE|Y||
192.168.113.180/21/2|192.168.113.180/21/2|192.168.113.180/21/2|NFO-MOBILITY|NTE|NTE|true|B|2||2||ORLDFLHSH05|ADTRAN 800 SERIES|192.168.113.181||org.mozilla.javascript.UniqueTag@2d45a8c: NOT_FOUND|302|||NNI|||||58/KQGN/701090/SB_146833||ADTRAN 5000 SERIES|Y||
