@rel(Composed_Of)
@from(PE_Device)key|@to(PE_PPort)key
12.82.88.132|12.82.88.132/FastEthernet 0/0
10.204.241.11|10.204.241.11/FastEthernet0/8
10.204.241.51|10.204.241.51/FastEthernet0/6
10.204.233.106|10.204.233.106/Gi0/2
10.204.241.0|10.204.241.0/FastEthernet0/2
10.204.244.4|10.204.244.4/FastEthernet0/23
10.204.241.88|10.204.241.88/FastEthernet0/2
12.82.125.156|12.82.125.156/FastEthernet 0/0
10.204.250.205|10.204.250.205/Fa0/1
10.204.241.12|10.204.241.12/FastEthernet0/19
10.204.244.4|10.204.244.4/FastEthernet0/15
10.204.241.0|10.204.241.0/FastEthernet0/20
10.204.244.248|10.204.244.248/FastEthernet0/16
10.204.241.11|10.204.241.11/FastEthernet0/14
10.204.250.183|10.204.250.183/Fa0/1
10.204.250.156|10.204.250.156/Fa0/1
10.204.244.170|10.204.244.170/FastEthernet0/15
10.204.244.248|10.204.244.248/FastEthernet0/20
10.204.244.170|10.204.244.170/FastEthernet0/19
10.204.250.29|10.204.250.29/Fa0/1
10.204.241.1|10.204.241.1/FastEthernet0/15
10.204.244.170|10.204.244.170/GigabitEthernet0/1
10.204.241.11|10.204.241.11/FastEthernet0/13
10.204.250.187|10.204.250.187/Gi0/2
10.204.241.88|10.204.241.88/GigabitEthernet0/1
10.204.241.1|10.204.241.1/FastEthernet0/10
10.204.241.12|10.204.241.12/FastEthernet0/15
10.204.250.254|10.204.250.254/Gi0/2
10.204.241.11|10.204.241.11/FastEthernet0/19
10.204.241.0|10.204.241.0/FastEthernet0/16
10.204.244.2|10.204.244.2/FastEthernet0/16
10.204.241.3|10.204.241.3/FastEthernet0/22
10.204.241.12|10.204.241.12/FastEthernet0/13
10.204.241.51|10.204.241.51/FastEthernet0/5
10.204.241.2|10.204.241.2/FastEthernet0/12
10.204.241.88|10.204.241.88/FastEthernet0/19
10.204.241.12|10.204.241.12/GigabitEthernet0/0
10.204.241.0|10.204.241.0/FastEthernet0/11
12.123.106.76|12.123.106.76/GigabitEthernet0/1
10.204.244.4|10.204.244.4/FastEthernet0/5
10.204.250.132|10.204.250.132/Gi0/2
10.204.250.119|10.204.250.119/Gi0/2
10.204.244.46|10.204.244.46/FastEthernet0/21
10.204.250.147|10.204.250.147/Fa0/1
12.123.104.212|12.123.104.212/5
10.204.241.0|10.204.241.0/FastEthernet0/13
192.168.114.116|192.168.114.116/GigabitEthernet0/1
10.204.241.51|10.204.241.51/FastEthernet0/22
10.204.250.91|10.204.250.91/Fa0/1
10.204.250.90|10.204.250.90/Gi0/2
10.204.250.102|10.204.250.102/Fa0/1
10.204.244.235|10.204.244.235/FastEthernet0/6
10.204.244.248|10.204.244.248/FastEthernet0/17
10.204.241.0|10.204.241.0/FastEthernet0/14
10.204.241.12|10.204.241.12/FastEthernet0/1
10.204.244.235|10.204.244.235/FastEthernet0/15
148.0.11.52|148.0.11.52/GigabitEthernet0/1
10.204.241.51|10.204.241.51/FastEthernet0/3
10.204.233.32|10.204.233.32/Gi0/2
10.204.241.51|10.204.241.51/FastEthernet0/24
12.123.102.156|12.123.102.156/GigabitEthernet0/1
10.204.244.170|10.204.244.170/FastEthernet0/6
10.204.241.0|10.204.241.0/FastEthernet0/22
12.123.102.20|12.123.102.20/GigabitEthernet0/0
10.204.242.50|10.204.242.50/FastEthernet0/17
10.204.244.46|10.204.244.46/FastEthernet0/22
12.123.115.36|12.123.115.36/GigabitEthernet0/2
