@rel(Associated_To)
@from(EVC)key|@to(EVCNode)key
VPWS:158603|12.82.76.21/VPWS:158603
VPLS:22330|10.204.65.114/VPLS:22330
VPWS:69568|12.82.66.22/VPWS:69568
VPWS:138544|12.82.66.26/VPWS:138544
VPWS:77372|12.82.114.11/VPWS:77372
VPLS:126055|12.82.118.2/VPLS:126055
VPWS:145137|12.82.100.5/VPWS:145137
13979:33382|12.122.215.29/13979:33382
VPWS:178134|12.82.32.76/VPWS:178134
VPWS:159301|12.82.16.101/VPWS:159301
13979:143845|12.122.215.31/13979:143845
VPLS:143011|12.82.63.4/VPLS:143011
VPWS:85862|12.82.80.25/VPWS:85862
VPWS:177217|12.82.114.9/VPWS:177217
VPWS:159497|12.82.16.102/VPWS:159497
VPLS:65275|12.82.0.3/VPLS:65275
VPLS:167341|12.82.0.76/VPLS:167341
VPLS:149568|12.82.16.97/VPLS:149568
VPWS:119842|12.82.96.20/VPWS:119842
VPWS:174447|12.82.0.3/VPWS:174447
VPWS:125915|12.82.56.2/VPWS:125915
VPWS:168704|12.82.86.21/VPWS:168704
VPWS:100301|12.82.104.3/VPWS:100301
VPLS:161317|12.82.24.65/VPLS:161317
VPWS:97538|12.82.92.31/VPWS:97538
VPLS:27975|10.204.9.249/VPLS:27975
VPLS:114293|12.82.125.128/VPLS:114293
VPLS:117947|12.82.40.101/VPLS:117947
VPLS:72335|12.82.96.1/VPLS:72335
VPLS:128050|12.82.86.21/VPLS:128050
VPWS:176871|12.82.104.16/VPWS:176871
VPWS:147644|12.82.94.18/VPWS:147644
VPWS:137548|12.82.70.31/VPWS:137548
VPWS:84776|12.82.86.14/VPWS:84776
VPWS:69464|12.82.114.9/VPWS:69464
VPWS:119680|12.82.82.29/VPWS:119680
VPWS:149960|12.82.80.15/VPWS:149960
VPLS:91289|12.82.114.10/VPLS:91289
13979:35309|12.122.215.16/13979:35309
VPWS:120580|12.82.104.15/VPWS:120580
VPWS:180976|12.82.16.84/VPWS:180976
VPWS:107530|12.82.104.12/VPWS:107530
21302:50262|165.87.253.150/21302:50262
VPWS:127157|12.82.70.30/VPWS:127157
VPWS:76529|12.82.66.22/VPWS:76529
VPWS:138508|12.82.118.1/VPWS:138508
VPWS:100351|12.82.0.50/VPWS:100351
VPLS:117241|12.82.24.62/VPLS:117241
VPWS:71198|12.82.16.58/VPWS:71198
VPLS:27281|10.0.38.74/VPLS:27281
VPWS:73200|12.82.74.29/VPWS:73200
VPWS:78984|12.82.80.16/VPWS:78984
VPLS:114493|12.82.78.28/VPLS:114493
VPWS:82417|12.82.74.30/VPWS:82417
VPWS:167944|12.82.0.70/VPWS:167944
VPLS:163765|12.82.118.5/VPLS:163765
VPLS:109208|12.82.116.2/VPLS:109208
VPLS:106071|12.82.60.19/VPLS:106071
VPWS:142362|12.82.102.25/VPWS:142362
VPWS:66108|12.82.66.22/VPWS:66108
VPWS:175179|12.82.24.42/VPWS:175179
VPLS:110757|12.82.102.1/VPLS:110757
VPLS:172390|12.82.0.77/VPLS:172390
VPLS:175819|12.82.110.1/VPLS:175819
VPLS:66095|12.82.114.11/VPLS:66095
VPWS:120629|12.82.0.83/VPWS:120629
VPWS:168552|12.82.86.30/VPWS:168552
VPWS:146170|12.82.56.4/VPWS:146170
VPWS:164151|12.82.24.42/VPWS:164151
VPWS:162725|12.82.82.24/VPWS:162725
VPLS:109789|12.82.78.1/VPLS:109789
VPLS:166171|12.82.16.50/VPLS:166171
VPLS:143882|12.82.24.30/VPLS:143882
VPWS:152688|12.82.8.59/VPWS:152688
VPWS:100862|12.82.16.65/VPWS:100862
VPWS:89896|12.82.0.73/VPWS:89896
VPWS:126478|12.82.24.62/VPWS:126478
13979:31693|12.122.215.31/13979:31693
VPWS:169620|12.82.8.79/VPWS:169620
VPWS:86366|12.82.0.51/VPWS:86366
VPWS:89140|12.82.104.6/VPWS:89140
VPWS:158942|12.82.94.24/VPWS:158942
VPLS:118407|12.82.24.55/VPLS:118407
VPWS:184095|12.82.40.80/VPWS:184095
VPWS:69460|12.82.114.9/VPWS:69460
VPWS:76525|12.82.0.47/VPWS:76525
VPLS:125418|12.82.0.46/VPLS:125418
VPLS:113123|12.82.82.22/VPLS:113123
VPWS:115501|12.82.0.72/VPWS:115501
VPWS:79525|12.82.118.5/VPWS:79525
VPLS:124398|12.82.96.1/VPLS:124398
VPLS:163054|12.82.96.22/VPLS:163054
VPWS:105919|12.82.100.12/VPWS:105919
VPWS:108402|12.82.104.23/VPWS:108402
VPLS:29599|10.204.134.201/VPLS:29599
VPWS:149663|12.82.118.3/VPWS:149663
VPWS:81409|12.82.56.2/VPWS:81409
VPWS:171892|12.82.16.77/VPWS:171892
VPWS:79433|12.82.118.5/VPWS:79433
VPWS:53952|12.82.82.16/VPWS:53952
VPWS:147083|12.82.8.59/VPWS:147083
VPWS:172357|12.82.32.75/VPWS:172357
VPLS:155575|12.82.16.79/VPLS:155575
13979:47748|12.122.215.25/13979:47748
VPWS:173792|12.82.8.59/VPWS:173792
VPLS:93510|12.82.114.10/VPLS:93510
VPWS:118322|12.82.66.23/VPWS:118322
VPWS:150488|12.82.16.50/VPWS:150488
VPWS:75276|12.82.114.11/VPWS:75276
VPWS:95602|12.82.114.11/VPWS:95602
VPLS:155336|12.82.40.91/VPLS:155336
VPWS:152561|12.82.94.25/VPWS:152561
VPWS:175003|12.82.86.14/VPWS:175003
VPLS:178225|12.82.8.63/VPLS:178225
VPWS:73713|12.82.86.23/VPWS:73713
VPLS:53155|12.82.0.59/VPLS:53155
VPLS:63664|12.82.0.52/VPLS:63664
VPWS:123341|12.82.60.19/VPWS:123341
VPWS:169295|12.82.86.14/VPWS:169295
VPWS:113956|12.82.90.27/VPWS:113956
VPLS:104370|12.82.68.1/VPLS:104370
VPWS:175321|12.82.32.76/VPWS:175321
VPLS:90448|12.82.0.70/VPLS:90448
VPWS:77936|12.82.8.63/VPWS:77936
VPWS:90240|12.82.104.3/VPWS:90240
VPWS:134989|12.82.60.27/VPWS:134989
VPLS:171903|12.82.40.124/VPLS:171903
VPLS:150370|12.82.70.31/VPLS:150370
VPLS:181438|12.82.127.128/VPLS:181438
VPLS:105753|1.2.3.4/VPLS:105753
VPLS:116804|12.82.109.3/VPLS:116804
VPWS:159404|12.82.24.61/VPWS:159404
VPLS:153700|12.82.0.76/VPLS:153700
VPLS:154831|12.82.16.79/VPLS:154831
VPWS:138519|12.82.0.43/VPWS:138519
VPWS:31809|10.204.134.216/VPWS:31809
VPLS:142958|12.82.40.110/VPLS:142958
VPWS:116425|12.82.0.73/VPWS:116425
VPWS:119448|12.82.102.2/VPWS:119448
VPLS:115140|12.82.8.71/VPLS:115140
VPWS:112796|12.82.0.46/VPWS:112796
VPWS:135047|12.82.24.61/VPWS:135047
VPWS:119197|12.82.76.28/VPWS:119197
VPWS:145595|12.82.104.3/VPWS:145595
VPWS:141092|12.82.76.29/VPWS:141092
VPWS:117268|12.82.40.91/VPWS:117268
VPWS:77217|12.82.72.19/VPWS:77217
VPLS:103826|12.82.94.16/VPLS:103826
VPLS:148503|12.82.102.24/VPLS:148503
VPWS:156509|12.82.80.21/VPWS:156509
VPWS:139075|12.82.0.75/VPWS:139075
VPLS:131550|12.82.0.70/VPLS:131550
VPWS:84599|12.82.16.57/VPWS:84599
VPWS:152065|12.82.0.74/VPWS:152065
13979:29188|12.122.215.12/13979:29188
VPWS:179707|12.82.24.67/VPWS:179707
VPLS:30952|10.204.134.201/VPLS:30952
VPLS:118009|12.82.68.1/VPLS:118009
VPLS:111749|12.82.40.122/VPLS:111749
VPWS:158720|12.82.8.77/VPWS:158720
VPWS:133610|12.82.104.6/VPWS:133610
VPWS:112288|12.82.94.18/VPWS:112288
VPWS:126917|12.82.0.69/VPWS:126917
VPLS:180729|1.2.3.4/VPLS:180729
VPLS:171362|12.82.114.27/VPLS:171362
VPWS:134700|12.82.78.28/VPWS:134700
VPLS:175416|12.82.32.76/VPLS:175416
VPLS:177397|12.82.0.76/VPLS:177397
VPLS:130869|12.82.114.14/VPLS:130869
VPWS:105402|12.82.76.29/VPWS:105402
VPLS:116492|1.2.3.4/VPLS:116492
VPWS:91517|12.82.104.16/VPWS:91517
VPWS:70334|12.82.16.57/VPWS:70334
VPWS:113830|12.82.40.110/VPWS:113830
VPLS:138645|12.82.66.23/VPLS:138645
VPWS:70970|12.82.8.55/VPWS:70970
