@rel(PLink)
@from(PE_PPort)key|@to(CE_PPort)key
10.144.0.137/1/0/5|192.168.113.147/21
12.80.72.48/0/0/0|10.204.200.209/25
149.0.3.194/0/0/0|10.204.84.237/11
149.0.3.222/5/0/8|10.204.9.194/9
150.0.0.44/1/0/0|10.204.9.70/25
149.0.3.199/0/0/2|10.204.84.228/9
12.80.72.54/0/0/1|10.204.200.214/26
10.144.0.122/3/2/8|192.168.113.99/10
149.0.3.196/0/1/6|10.204.85.1/9
8.8.0.172/5/0/0|10.204.90.155/25
12.80.68.145/0/0/0|10.204.160.134/21
149.0.3.223/1/0/0|10.204.9.218/10
149.9.0.28/5/0/3|10.204.83.164/25
149.0.3.200/1/0/0|10.204.9.161/9
149.0.3.199/0/0/4|10.204.85.48/9
143.0.68.242/3/2/5|10.204.144.70/9
8.8.0.196/4/0/3|10.204.156.94/21
143.0.68.168/1/0/5|10.204.10.219/9
143.0.68.170/3/0/1|10.204.11.4/9
143.0.68.248/0/2/8|10.204.11.210/24
12.80.72.17/3/0/0|10.204.200.174/23
143.0.24.168/4/2/1|10.204.144.170/21
143.0.24.168/3/0/2|10.204.144.92/SM-A/1
143.0.68.170/4/0/8|10.204.11.94/9
150.0.0.44/5/0/1|10.204.8.73/25
150.0.0.167/1/0/7|10.204.32.65/9
10.144.0.147/1/2/6|192.168.113.88/10
143.0.68.248/1/1/5|10.204.11.190/9
150.0.0.217/0/0/6|10.204.84.206/9
143.0.68.248/0/3/0|10.204.11.239/9
150.0.0.168/5/0/9|10.204.83.151/9
143.0.24.131/1/1/0|10.204.1.117/9
10.0.38.72/0/0/2|10.204.66.247/9
8.8.0.185/3/0/6|10.204.90.149/10
12.123.80.166/1/0/5|10.204.80.148/25
10.144.0.122/1/0/0|10.204.200.74/21
12.80.4.13/1/0/1|10.204.160.100/SM-A/1
143.0.68.242/3/0/0|10.204.132.166/9
10.144.0.154/3/1/5|10.204.1.78/25
12.123.80.212/2/0/5|10.204.81.37/25
143.0.25.9/2/0/1|10.204.12.144/9
12.80.72.27/2/0/1|10.204.200.184/22
143.0.68.254/1/0/2|10.204.10.216/9
143.0.25.14/0/0/0|10.204.144.189/11
143.0.68.242/4/0/2|10.204.132.207/9
12.80.72.84/0/0/0|10.204.200.250/25
143.0.24.144/1/0/0|10.204.132.182/22
8.8.0.190/3/0/0|10.204.90.163/SM-B/1
12.123.80.29/2/0/2|10.204.64.163/25
10.144.0.137/2/0/3|10.204.67.117/9
149.0.3.222/1/0/0|10.204.9.218/9
143.0.24.145/3/0/0|10.204.144.75/12
143.0.68.177/3/0/0|10.204.12.128/10
143.0.24.168/0/0/1|10.204.132.210/9
150.0.0.212/0/0/6|10.204.83.93/23
8.8.0.154/2/0/3|10.204.90.95/26
149.9.0.27/1/0/0|10.204.9.98/25
143.0.25.10/5/0/0|10.204.12.133/0
150.0.0.212/0/0/4|10.204.83.92/10
149.0.3.196/0/2/3|10.204.85.13/9
10.144.0.137/4/0/3|10.204.67.140/10
143.0.68.242/3/1/3|10.204.132.194/9
148.0.131.182/3/0/0|10.204.82.184/25
12.123.80.143/0/0/0|10.204.65.39/25
143.0.68.44/0/0/0|10.204.84.2/25
12.80.4.13/1/0/0|10.204.160.95/SM-A/1
143.0.68.229/1/0/4|10.204.10.190/9
12.80.84.29/3/0/5|10.204.6.66/25
8.8.0.154/0/1/2|10.204.90.200/25
143.0.68.248/1/1/0|10.204.11.178/9
12.123.80.197/1/0/4|10.204.65.123/25
149.9.0.27/0/0/0|10.204.9.69/25
12.123.80.214/1/0/3|10.204.80.240/25
143.0.68.172/4/0/4|10.204.12.49/10
143.0.24.168/5/2/0|10.204.144.173/11
143.0.24.130/1/3/0|10.204.67.36/12
148.0.131.240/0/0/0|10.204.8.86/25
12.80.72.73/0/0/9|10.204.200.239/25
12.123.80.214/0/0/8|10.204.80.213/25
143.0.68.170/2/0/2|10.204.11.27/9
12.123.80.197/0/0/2|10.204.65.136/25
12.123.80.143/4/0/1|10.204.65.139/SM-A/2
150.0.0.59/3/0/2|10.204.200.76/22
143.0.24.168/0/0/2|10.204.132.215/9
149.0.3.199/0/0/3|10.204.84.239/9
12.80.72.28/0/0/0|10.204.200.189/25
143.0.68.244/0/0/0|10.204.132.92/10
143.0.68.170/1/0/8|10.204.10.200/22
8.8.0.154/5/0/4|10.204.90.127/26
143.0.68.242/5/0/0|10.204.144.66/0
143.0.68.244/1/0/0|10.204.132.81/11
12.123.80.214/3/0/6|10.204.81.81/25
10.144.0.123/3/0/2|192.168.113.98/25
8.8.0.169/0/0/6|10.204.90.120/25
150.0.0.167/2/0/2|10.204.32.70/9
12.80.17.93/4/0/0|10.204.17.33/21
143.0.68.184/0/2/2|10.204.11.232/9
8.8.0.171/5/0/0|10.204.90.127/25
143.0.24.237/3/0/0|10.204.85.114/11
143.0.25.9/0/0/6|10.204.12.135/9
149.9.0.6/0/1/0|10.204.9.67/11
12.123.80.29/1/0/0|10.204.64.154/SM-A/1
143.0.68.184/2/0/7|10.204.11.139/24
143.0.68.184/0/2/7|10.204.11.142/21
143.0.68.245/1/0/0|10.204.132.134/9
12.123.80.143/4/0/0|10.204.65.139/SM-B/1
12.123.80.45/2/0/1|10.204.136.64/25
143.0.68.240/5/0/2|10.204.132.176/23
10.144.0.137/1/3/3|135.16.243.66/9
149.0.3.223/1/0/3|10.204.10.4/9
10.144.0.137/1/1/8|10.204.67.4/9
143.0.68.248/1/2/5|10.204.11.206/9
12.123.80.202/0/0/1|10.204.65.132/25
8.8.0.172/5/1/4|10.204.90.236/25
8.8.0.154/0/1/7|10.204.90.223/26
8.8.0.118/1/0/8|10.204.176.65/22
12.80.68.134/5/0/5|10.204.160.124/SM-A/1
143.0.24.145/0/1/2|10.204.144.221/9
8.8.0.129/4.0/0.1|10.204.166.78/28
143.0.25.9/0/1/8|10.204.12.147/9
127.239.231.73/5/0/1|10.204.200.199/26
12.80.72.123/0/0/1|10.204.201.58/27
143.0.68.248/1/0/8|10.204.11.171/9
143.0.68.172/4/1/1|10.204.12.53/9
150.0.0.44/5/0/0|10.204.9.71/25
143.0.68.242/4/2/0|10.204.144.149/0
143.0.24.196/5/0/0|10.204.12.55/0
143.0.24.164/0/0/2|10.204.161.50/9
143.0.24.168/0/0/8|10.204.144.104/9
12.82.0.53/3/0/3|10.204.200.219/22
143.0.24.130/4/0/0|10.204.235.193/22
10.144.0.147/4/3/9|10.204.66.239/9
148.0.131.223/1/0/0|10.204.82.141/22
12.80.72.33/0/0/2|10.204.200.221/28
12.80.72.118/0/0/4|10.204.201.68/25
143.0.68.242/3/0/5|10.204.132.180/9
150.0.0.27/3/0/1|10.204.8.71/22
143.0.24.168/0/0/7|10.204.12.90/9
12.82.0.53/5/0/9|10.204.200.148/25
12.123.80.27/2/1/0|10.204.80.163/25
143.0.68.68/1/1/0|10.204.84.49/10
143.0.24.132/2/0/0|10.204.135.200/9
12.123.80.214/4/1/2|10.204.81.118/25
143.0.68.74/1/0/0|10.204.84.73/9
143.0.24.29/0/3/9|10.204.132.128/SM-B/2
143.0.68.247/0/0/4|10.204.132.102/9
143.0.25.10/0/0/3|10.204.12.147/10
149.0.3.196/4/0/3|10.204.85.74/9
143.0.68.228/5/0/0|10.204.144.199/0
8.8.0.190/3/0/1|10.204.90.160/25
143.0.24.141/0/0/2|10.204.2.131/11
8.8.0.154/0/1/0|10.204.90.180/25
143.0.68.172/0/0/6|10.204.10.93/10
143.0.68.72/4/0/0|10.204.136.101/22
8.8.0.167/3/0/0|10.204.90.166/25
12.80.72.17/2/0/0|10.204.200.174/22
149.0.3.243/4/0/0|10.204.85.47/11
149.0.3.244/2/1/0|10.204.85.33/12
12.123.80.214/0/1/1|10.204.81.109/25
12.123.80.201/2/0/1|10.204.65.149/26
10.144.0.147/3/0/3|10.204.67.78/9
8.8.0.148/2/0/1|10.204.90.126/25
149.0.3.196/0/0/6|10.204.84.240/10
149.0.3.196/4/0/1|10.204.85.63/25
143.0.68.172/4/0/3|10.204.12.48/9
143.0.68.228/2/3/4|10.204.132.110/11
12.80.17.93/3/0/0|10.204.17.33/22
149.0.3.196/2/0/5|10.204.85.61/9
12.82.78.30/1/0/1|150.234.53.243/9
143.0.25.9/0/1/1|10.204.12.146/9
143.0.24.159/4/1/0|10.204.161.35/0
12.80.72.74/5/0/0|10.204.200.238/25
8.8.0.148/2/0/2|10.204.90.198/25
149.0.3.204/11/0/0|10.204.9.166/12
10.144.0.154/3/1/1|10.204.1.119/25
10.144.0.137/4/0/0|10.204.32.64/9
12.123.80.212/1/0/9|10.204.81.13/25
143.0.68.173/0/0/0|10.204.11.103/22
148.0.131.193/2/0/1|10.204.225.200/21
149.0.3.196/2/0/7|10.204.85.66/9
150.0.0.73/2/0/0|10.204.8.80/21
143.0.24.168/3/1/2|10.204.144.185/9
150.0.0.73/0/0/0|10.204.8.80/22
150.0.0.215/1/0/6|10.204.84.87/25
143.0.24.159/9/0/1|10.204.161.48/24
12.123.80.166/1/0/2|10.204.80.133/25
12.80.72.16/0/0/0|10.204.200.161/SM-B/2
143.0.68.242/4/0/4|10.204.132.231/0
150.0.0.230/0/0/0|10.204.9.127/11
143.0.68.243/0/2/0|10.204.132.94/12
143.0.68.48/4/3/7|10.204.84.32/9
143.0.24.170/4/0/0|10.204.134.218/10
143.0.68.99/5/0/0|10.204.9.179/22
150.0.0.212/0/0/9|10.204.83.129/9
10.144.0.147/2/1/8|192.168.113.188/22
149.0.3.199/1/0/0|10.204.84.229/22
8.8.0.154/1/0/0|10.204.90.131/10
149.0.3.206/1/0/0|10.204.85.79/24
143.0.68.240/1/0/4|10.204.132.151/22
150.0.0.58/1/0/0|10.204.200.72/SM-B/1
12.123.80.208/0/0/1|10.204.136.79/26
143.0.68.99/4/0/4|10.204.9.175/9
12.123.80.27/1/1/7|10.204.80.95/25
12.82.78.30/1/0/5|10.204.161.7/25
148.0.131.204/0/0/1|10.204.12.113/9
148.0.131.182/4/1/2|10.204.82.135/26
150.0.0.12/0/0/1|10.204.8.69/SM-A/2
143.0.68.242/4/0/3|10.204.132.230/9
12.123.80.29/1/1/1|10.204.64.184/25
12.123.80.214/4/2/0|10.204.81.138/26
10.144.0.154/3/0/1|10.204.1.87/25
143.0.68.241/4/1/2|10.204.132.130/23
8.8.0.198/5/0/0|10.204.166.106/25
150.0.0.212/5/0/0|10.204.83.101/25
8.8.0.205/2/0/4|10.204.90.246/22
143.0.68.247/0/0/1|10.204.129.112/22
12.123.80.214/2/0/2|10.204.81.9/25
143.0.68.168/1/0/1|10.204.10.152/9
10.144.0.136/0/3/2|192.168.113.79/11
149.9.0.27/0/0/1|10.204.9.68/25
12.80.68.132/3/0/1|10.204.160.108/21
10.144.0.154/2/0/1|10.204.161.13/9
150.0.0.46/5/0/1|10.204.8.74/25
10.144.0.154/1/0/1|10.204.1.66/9
