@rel(PLink)
@from(PE_PPort)key|@to(CE_PPort)key
143.0.24.132/2/0/1|10.204.135.197/9
143.0.68.242/4/1/1|10.204.144.89/9
143.0.68.248/1/2/0|10.204.11.198/9
143.0.24.198/2/0/0|10.204.200.142/0
143.0.68.170/0/0/0|10.204.10.55/9
12.123.80.29/2/0/6|10.204.64.168/SM-B/1
143.0.68.240/2/1/2|10.204.132.151/21
10.144.0.137/2/0/1|10.204.67.114/9
12.80.84.29/3/0/1|10.204.6.65/25
143.0.68.242/4/0/0|10.204.132.204/21
149.0.3.216/1/0/1|10.204.84.243/24
12.123.80.17/2/0/9|10.204.176.80/26
12.123.80.214/2/0/1|10.204.81.8/25
143.0.68.242/3/1/4|10.204.132.199/9
8.8.0.190/3/0/2|10.204.90.162/SM-B/2
12.80.72.121/4/0/0|10.204.201.62/25
143.0.68.72/4/0/3|10.204.161.8/24
149.0.3.222/5/0/9|10.204.9.195/9
150.0.0.232/0/0/0|10.204.83.167/9
10.144.0.137/2/0/5|10.204.67.120/9
10.144.0.155/3/0/2|10.204.1.85/25
12.123.80.17/1/0/9|10.204.80.161/25
143.0.68.170/0/0/5|10.204.10.205/22
12.123.80.27/2/1/0|10.204.80.163/25
12.123.80.29/2/0/5|10.204.64.166/SM-A/2
143.0.68.248/1/0/4|10.204.11.162/9
143.0.68.170/4/1/3|10.204.11.113/9
149.0.3.194/2/0/0|10.204.85.76/23
143.0.68.170/4/1/0|10.204.11.100/9
148.0.131.182/3/0/1|10.204.82.188/SM-B/2
12.80.72.33/0/3/4|10.204.201.9/25
149.0.3.222/4/0/5|10.204.10.35/9
12.123.80.214/1/0/8|10.204.81.2/25
143.0.68.248/1/2/6|10.204.11.209/9
143.0.68.170/4/0/1|10.204.11.51/9
10.144.0.137/1/1/8|10.204.67.4/9
12.123.80.214/4/0/3|10.204.81.92/25
12.123.80.214/4/1/0|10.204.81.113/25
150.0.0.168/5/1/5|10.204.83.188/9
12.123.80.29/3/0/0|10.204.64.170/25
10.144.0.155/5/3/0|192.168.113.109/25
143.0.68.170/0/3/8|10.204.11.35/9
143.0.68.172/0/0/1|10.204.10.76/10
148.0.131.182/4/1/2|10.204.82.135/26
150.0.0.216/0/0/1|10.204.83.111/9
149.0.3.196/2/0/3|10.204.85.55/9
143.0.68.212/0/0/0|10.204.132.75/9
12.123.80.214/2/0/0|10.204.80.254/22
10.144.0.154/3/0/0|10.204.1.67/9
8.8.0.205/2/0/5|10.204.90.248/21
143.0.68.170/4/0/3|10.204.11.18/9
143.0.68.172/4/0/2|10.204.12.44/9
149.0.3.222/2/0/6|10.204.10.21/9
149.0.3.194/2/0/2|10.204.85.77/9
143.0.68.170/4/1/4|10.204.11.109/9
143.0.68.240/2/0/2|10.204.132.141/9
150.0.0.46/5/0/0|10.204.8.72/10
143.0.68.248/1/2/5|10.204.11.206/9
143.0.68.168/7/0/1|10.204.10.183/11
149.0.3.222/5/1/8|10.204.9.209/9
10.144.0.65/4/0/0|10.204.200.111/SM-B/1
12.80.72.16/2/0/0|10.204.200.159/22
143.0.68.170/3/0/1|10.204.11.4/9
149.0.3.196/4/0/4|10.204.85.81/9
12.123.80.212/0/0/2|10.204.80.194/25
143.0.68.172/4/0/3|10.204.12.48/9
10.144.0.137/3/1/0|10.204.67.56/9
143.0.68.248/0/1/9|10.204.11.222/23
12.123.80.212/1/0/2|10.204.80.247/25
12.123.80.212/1/0/1|10.204.80.235/25
12.80.72.33/1/3/0|10.204.201.19/28
10.144.0.137/4/0/2|10.204.67.140/9
8.8.0.190/5/0/0|10.204.90.159/25
143.0.68.248/1/1/7|10.204.11.196/9
10.144.0.137/2/3/4|10.204.67.128/9
12.123.80.214/1/0/2|10.204.80.235/26
143.0.68.168/1/0/1|10.204.10.152/9
143.0.68.248/0/3/0|10.204.11.239/9
12.82.0.62/3/0/3|10.204.200.96/2
150.0.0.212/0/0/4|10.204.83.92/10
150.0.0.168/5/1/9|10.204.83.225/9
10.144.0.154/1/2/6|192.168.113.230/SM-B/1
12.123.80.214/3/0/6|10.204.81.81/25
143.0.68.248/1/1/6|10.204.11.191/9
12.123.80.214/4/1/3|10.204.81.122/25
12.123.80.27/3/1/0|10.204.80.117/25
12.80.72.33/0/0/1|10.204.200.193/25
143.0.68.35/1/0/5|10.204.83.234/25
10.144.0.155/1/2/8|192.168.95.31/10
149.0.3.222/1/3/1|10.204.10.7/9
149.0.3.222/5/0/8|10.204.9.194/9
143.0.68.173/2/0/1|10.204.10.156/10
149.0.3.194/0/0/0|10.204.84.237/11
12.123.80.212/1/0/6|10.204.81.6/25
150.0.0.46/5/0/1|10.204.8.74/25
10.144.0.65/3/2/0|192.168.113.75/11
143.0.68.184/0/1/3|10.204.11.145/9
143.0.68.34/0/0/0|10.204.83.217/SM-A/1
149.0.3.206/1/0/0|10.204.85.79/24
150.0.0.89/1/0/8|10.204.82.191/25
149.0.3.216/0/0/1|10.204.84.243/23
149.0.3.134/5/0/0|10.204.8.73/26
10.144.0.155/1/0/1|192.168.95.31/9
150.0.0.23/4/0/0|10.204.81.199/25
12.80.72.16/3/0/0|10.204.200.159/21
143.0.68.43/5/0/0|10.204.84.196/9
10.144.0.147/3/0/9|10.204.67.86/9
8.8.0.148/2/0/0|10.204.90.108/25
143.0.68.169/2/1/1|10.204.10.85/9
149.0.3.194/2/0/3|10.204.85.80/9
12.123.80.212/2/1/6|10.204.81.143/25
150.0.0.233/0/0/0|10.204.83.167/10
143.0.68.240/0/1/0|10.204.132.205/0
143.0.68.172/0/0/8|10.204.10.98/9
