@ref(networkElement)|@const(IpagEvcNode)class
@index(EVCNode)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|acnaban|clci|clli|cvlanid|evc_name|ipaddress|ineffect|nte_uni|port_aid|svlanid|unickt|vrf_name
10.204.12.35/VPWS:31887|10.204.12.35/VPWS:31887|10.204.12.35/VPWS:31887|NFO-MOBILITYUNI|NTE|NTE|||AWL-901C010249|||231|08/KRFN/872116/ES|10.204.12.35|Y||1|||VPWS:31887
12.82.0.53/VPLS:52140|12.82.0.53/VPLS:52140|12.82.0.53/VPLS:52140|||IPAG|||||||EVCMPTRAJ76|12.82.0.53|Y||ge-3/0/0|||VPLS:52140
12.123.80.27/VPWS:22735|12.123.80.27/VPWS:22735|12.123.80.27/VPWS:22735|||IPAG|||||||10/JAIN/190511/AJ|12.123.80.27|Y||ge-2/0/3|||VPWS:22735
10.204.84.79/VPLS:26445|10.204.84.79/VPLS:26445|10.204.84.79/VPLS:26445|NFO-MOBILITYUNI|NTE|NTE|||AWL-901C010249|||231|01/DUMY/060212/RK|10.204.84.79|||25|2|28/DUMY/061090/NV|VPLS:26445
192.168.113.147/VPWS:24113|192.168.113.147/VPWS:24113|192.168.113.147/VPWS:24113|||NTE|||AWL-901C010249|||669|88/CCGF/748545/DD|192.168.113.147|||21|34|10/KQGN/100621/SB|VPWS:24113
149.0.3.216/VPLS:27423|149.0.3.216/VPLS:27423|149.0.3.216/VPLS:27423|||IPAG|||||||00/KRFN/280190/NV|149.0.3.216|Y||ge-4/0/0|||VPLS:27423
192.168.113.81/VPLS:30543|192.168.113.81/VPLS:30543|192.168.113.81/VPLS:30543|NFO-MOBILITYUNI|NTE|NTE|||EXF-407N191276|||1123|10/VLXM/130131/SB|192.168.113.81|||10|5|85/KQGN/202403/SB|VPLS:30543
150.0.0.10/VPWS:29272|150.0.0.10/VPWS:29272|150.0.0.10/VPWS:29272|||IPAG|||||||01/EVCP/031012/PJ|150.0.0.10|Y||ge-2/0/3|||VPWS:29272
10.204.8.75/VPLS:29949|10.204.8.75/VPLS:29949|10.204.8.75/VPLS:29949|NTE-CFM-CFO|IPAG|NTE|||AWL-901C010249|||2333|99/ABCD/818181/MN|10.204.8.75|||12|4|01/KRFN/273486/SB|VPLS:29949
150.0.0.153/VPWS:25344|150.0.0.153/VPWS:25344|150.0.0.153/VPWS:25344|||IPAG|||||||02/ABCD/121109/MN|150.0.0.153|Y||ge-1/0/1|||VPWS:25344
192.168.113.147/VPLS:24073|192.168.113.147/VPLS:24073|192.168.113.147/VPLS:24073|||NTE|||ATX-1234567891|||222|10/AMML/660099/JF|192.168.113.147|||21|28|10/KQGN/100621/SB|VPLS:24073
143.0.68.184/VPWS:30143|143.0.68.184/VPWS:30143|143.0.68.184/VPWS:30143|||IPAG|||||||99/ABCD/301019/MN|143.0.68.184|Y||ge-0/1/6|||VPWS:30143
10.204.9.85/VPLS:25611|10.204.9.85/VPLS:25611|10.204.9.85/VPLS:25611|NTE-CFM-CFO|IPAG|NTE|||AWL-407TEST123|||1654|74/KSGN/898711/SB|10.204.9.85|Y||9|||VPLS:25611
10.204.85.33/VPLS:27553|10.204.85.33/VPLS:27553|10.204.85.33/VPLS:27553|NFO-MOBILITYUNI|NTE|NTE|||AWL-901C010249|||509|42/EVMS/617829/SD|10.204.85.33|Y||9|||VPLS:27553
10.204.82.66/VPWS:23171|10.204.82.66/VPWS:23171|10.204.82.66/VPWS:23171|NTE-CFM-CFO|IPAG|NTE|||SDB-407N160055|||524|01/EP2P/170611/HG|10.204.82.66|||25|18|05/BVGH/534656/BS|VPWS:23171
10.204.176.72/VPLS:52040|10.204.176.72/VPLS:52040|10.204.176.72/VPLS:52040|||NTE|||ATW-404N100098|||2|NiksMPTInterface3|10.204.176.72|||21|13|78/KRFB/985678/SB|VPLS:52040
10.204.66.99/VPLS:24478|10.204.66.99/VPLS:24478|10.204.66.99/VPLS:24478|NTE-CFM-CFO|IPAG|NTE|||452-904C010249|||378|44/EVCM/140211/PJ|10.204.66.99|Y||28|||VPLS:24478
