@rel(Composed_Of)
@from(PE_PPort)key|@to(PE_LPort)key
10.0.38.121/2/0/2|10.0.38.121/2/0/2/24
12.82.16.83/1/1/0|12.82.16.83/1/1/0/6045
12.82.118.12/10/2/2|12.82.118.12/10/2/2/0
12.82.118.4/3/0/7|12.82.118.4/3/0/7/20
12.82.16.83/1/1/0|12.82.16.83/1/1/0/6044
12.82.118.4/10/1/5|12.82.118.4/10/1/5/15
12.82.118.12/3/1/2|12.82.118.12/3/1/2/6
12.82.16.82/1/1/0|12.82.16.82/1/1/0/6044
12.82.16.82/1/1/0|12.82.16.82/1/1/0/6017
12.82.118.12/3/0/5|12.82.118.12/3/0/5/12
12.123.80.212/2/1/9|12.123.80.212/2/1/9/124
12.82.118.4/10/1/5|12.82.118.4/10/1/5/1
12.82.16.83/1/2/0|12.82.16.83/1/2/0/6024
12.123.80.212/2/0/8|12.123.80.212/2/0/8/6000
10.144.0.154/2/2/0|10.144.0.154/2/2/0/6024
12.82.118.4/3/1/9|12.82.118.4/3/1/9/8
12.82.118.12/3/0/1|12.82.118.12/3/0/1/18
12.82.16.83/1/3/0|12.82.16.83/1/3/0/6001
12.82.118.12/3/0/3|12.82.118.12/3/0/3/10
12.82.118.4/3/2/1|12.82.118.4/3/2/1/3
12.82.118.4/3/0/9|12.82.118.4/3/0/9/4
12.82.118.12/11/1/0|12.82.118.12/11/1/0/56
12.82.118.4/3/2/7|12.82.118.4/3/2/7/11
12.82.16.83/1/2/0|12.82.16.83/1/2/0/6049
12.82.118.12/3/0/3|12.82.118.12/3/0/3/23
12.82.118.12/3/0/5|12.82.118.12/3/0/5/25
12.82.118.12/10/0/5|12.82.118.12/10/0/5/12
12.82.118.4/3/2/7|12.82.118.4/3/2/7/16
12.82.16.82/1/0/0|12.82.16.82/1/0/0/6039
12.82.118.12/1/0/1|12.82.118.12/1/0/1/3
12.82.118.12/1/0/0|12.82.118.12/1/0/0/3
12.82.118.12/11/1/0|12.82.118.12/11/1/0/15
12.82.0.59/3/2/8|12.82.0.59/3/2/8/6000
12.82.16.83/1/2/0|12.82.16.83/1/2/0/6015
150.0.0.212/1/1/3|150.0.0.212/1/1/3/61
12.82.16.82/1/1/0|12.82.16.82/1/1/0/6019
12.82.118.4/3/1/7|12.82.118.4/3/1/7/3
12.82.118.12/10/0/3|12.82.118.12/10/0/3/5
12.82.118.4/11/2/0|12.82.118.4/11/2/0/14
12.82.118.4/3/1/7|12.82.118.4/3/1/7/9
12.82.118.4/3/1/6|12.82.118.4/3/1/6/9
12.82.16.82/1/0/0|12.82.16.82/1/0/0/6016
12.82.16.82/1/0/0|12.82.16.82/1/0/0/6029
12.82.118.4/3/0/6|12.82.118.4/3/0/6/2
12.82.0.59/2/2/1|12.82.0.59/2/2/1/6000
12.82.118.4/3/0/6|12.82.118.4/3/0/6/18
12.82.118.4/3/0/6|12.82.118.4/3/0/6/19
12.82.118.4/3/0/6|12.82.118.4/3/0/6/16
12.82.0.59/3/0/4|12.82.0.59/3/0/4/5001
12.82.118.4/10/0/0|12.82.118.4/10/0/0/0
12.82.118.4/10/2/1|12.82.118.4/10/2/1/1
12.82.118.4/10/2/1|12.82.118.4/10/2/1/20
12.82.0.59/4/0/1|12.82.0.59/4/0/1/6000
12.82.118.4/3/1/9|12.82.118.4/3/1/9/17
12.82.118.12/11/1/0|12.82.118.12/11/1/0/81
12.82.118.12/11/1/0|12.82.118.12/11/1/0/41
12.82.118.4/11/2/0|12.82.118.4/11/2/0/10
12.82.118.12/3/1/2|12.82.118.12/3/1/2/5
12.82.0.59/2/2/8|12.82.0.59/2/2/8/6000
12.82.0.59/3/2/3|12.82.0.59/3/2/3/6001
12.82.118.12/11/1/0|12.82.118.12/11/1/0/79
148.0.131.168/1/0/0|148.0.131.168/1/0/0/3
12.82.16.83/1/1/0|12.82.16.83/1/1/0/6014
12.82.118.4/10/2/1|12.82.118.4/10/2/1/16
12.82.16.82/1/1/0|12.82.16.82/1/1/0/6011
12.82.118.12/10/0/3|12.82.118.12/10/0/3/7
12.82.16.83/1/1/0|12.82.16.83/1/1/0/6006
12.82.118.4/3/2/4|12.82.118.4/3/2/4/28
12.82.118.4/3/2/6|12.82.118.4/3/2/6/3
12.82.118.4/3/2/9|12.82.118.4/3/2/9/19
12.82.16.83/1/2/0|12.82.16.83/1/2/0/6040
12.82.118.4/3/2/4|12.82.118.4/3/2/4/23
12.82.118.4/3/1/6|12.82.118.4/3/1/6/13
12.82.16.83/1/1/0|12.82.16.83/1/1/0/6055
12.82.118.12/11/1/0|12.82.118.12/11/1/0/78
12.82.118.4/3/1/8|12.82.118.4/3/1/8/6
12.82.118.4/11/2/0|12.82.118.4/11/2/0/13
12.82.0.59/2/0/0|12.82.0.59/2/0/0/6000
12.82.118.4/3/2/1|12.82.118.4/3/2/1/8
12.82.118.4/10/1/5|12.82.118.4/10/1/5/13
12.82.118.4/3/2/7|12.82.118.4/3/2/7/28
12.82.0.59/4/0/0|12.82.0.59/4/0/0/5001
12.82.0.59/4/2/2|12.82.0.59/4/2/2/5000
12.82.16.82/1/1/0|12.82.16.82/1/1/0/6014
12.82.118.4/10/1/5|12.82.118.4/10/1/5/6
12.82.118.12/3/3/0|12.82.118.12/3/3/0/1
12.82.118.4/3/1/6|12.82.118.4/3/1/6/27
12.82.16.83/1/1/0|12.82.16.83/1/1/0/6003
12.82.118.4/3/2/1|12.82.118.4/3/2/1/22
12.82.118.12/10/0/3|12.82.118.12/10/0/3/27
12.82.118.4/10/1/5|12.82.118.4/10/1/5/12
12.82.118.12/11/1/0|12.82.118.12/11/1/0/36
12.82.118.4/3/1/9|12.82.118.4/3/1/9/14
