@rel(PLink)
@from(PE_PPort)key|@to(PE_PPort)key
143.0.68.35/1/1/3|149.9.0.28/5/1/0
12.80.72.121/4/3/4|12.80.72.123/0/0/8
149.0.3.223/1/0/8|149.0.3.222/2/0/3
12.123.80.122/2/1/0|12.123.80.144/5/0/0
12.123.80.29/1/1/3|12.123.80.32/1/0/4
10.144.0.137/3/3/3|10.0.38.84/1/0/0
143.0.68.34/1/0/6|143.0.68.35/1/0/7
12.82.0.53/1/0/3|12.82.0.62/1/2/0
12.82.0.62/1/3/2|12.82.0.53/1/0/8
149.0.3.223/4/0/3|149.0.3.200/1/0/7
12.123.80.27/1/2/7|12.123.80.116/1/0/0
149.8.0.17/1/0/1|12.123.80.214/2/1/1
149.0.3.222/4/0/9|143.0.68.167/1/0/1
143.0.68.172/0/0/3|143.0.68.179/0/0/0
10.144.0.137/3/3/1|10.0.38.78/5/0/0
12.82.0.53/4/0/4|12.82.0.55/5/1/3
12.80.72.33/0/3/3|12.80.72.34/0/3/3
12.82.0.53/5/1/4|12.82.0.62/1/3/8
143.0.68.42/1/0/1|150.0.0.217/0/0/5
149.8.0.17/1/0/4|12.123.80.214/2/1/3
12.82.0.62/2/3/1|12.82.0.53/3/0/8
12.80.72.121/4/0/9|12.80.72.123/0/3/9
12.82.0.53/5/1/7|12.82.0.62/1/3/1
149.0.3.223/5/0/6|149.0.3.222/5/1/6
12.82.0.53/2/0/3|12.82.0.62/1/3/6
10.144.0.137/4/0/8|10.0.38.78/5/0/8
143.0.68.170/0/0/1|143.0.68.169/1/0/0
143.0.68.35/1/0/9|149.9.0.28/5/0/6
143.0.68.35/1/1/0|149.9.0.28/5/0/7
150.0.0.212/0/1/4|150.0.0.218/4/0/3
149.0.3.223/5/2/1|149.0.3.222/5/2/1
143.0.68.168/2/0/1|143.0.68.229/1/0/0
12.82.0.62/1/1/3|12.82.0.63/4/0/5
12.123.80.27/1/2/8|12.123.80.65/0/0/5
143.0.68.229/1/0/0|143.0.68.168/2/0/1
149.0.3.223/5/0/5|149.0.3.222/5/1/5
10.144.0.147/1/3/9|192.168.114.68/GigabitEthernet0/1
12.82.0.62/1/2/3|12.82.0.53/1/0/7
143.0.68.170/1/0/2|143.0.68.169/1/0/2
143.0.68.169/2/3/0|143.0.68.172/0/1/3
143.0.68.35/1/0/1|143.0.68.34/1/0/1
150.0.0.215/1/0/2|150.0.0.212/1/1/3
12.82.0.62/1/3/9|12.82.0.53/5/0/8
143.0.68.34/1/0/0|143.0.68.35/1/0/0
8.8.0.154/0/1/8|8.8.0.171/5/0/2
150.0.0.89/1/0/2|148.0.131.253/5/0/0
12.123.80.15/1/0/2|12.123.80.37/0/0/4
150.0.0.89/1/0/7|148.0.131.253/4/0/1
149.0.3.222/5/2/3|149.0.3.223/5/2/3
143.0.68.35/1/1/4|149.9.0.28/5/1/1
12.82.0.62/1/2/0|12.82.0.53/1/0/3
12.80.68.135/5/0/1|12.80.68.134/5/0/1
12.82.0.53/5/0/0|12.82.0.55/5/0/0
12.82.0.53/4/0/8|12.82.0.62/1/3/7
143.0.68.35/1/1/7|149.9.0.28/5/1/4
12.82.0.62/1/0/0|12.82.0.53/1/0/0
12.82.0.53/5/0/5|12.82.0.55/5/0/5
