@ref(networkElement)|@const(IpagPPort)class
@index(CE_PPort)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|aafda_role|acnaban|assoc_nni_pport|clci|clfi|diverse_circuit_id|device_type|ineffect|mpa_connect_type|nmvlan|port_aid|port_ipaddr|port_num|remote_device_name|remote_device_type|remote_device_ipaddr|remote_deviceloopbackip|remote_slot_name|remote_port_aid|slavlan|cdnbind|uni_nni
10.204.132.158/9|10.204.132.158/9|10.204.132.158/9|NFO-MOBILITY|NTE|NTE|true|B|AAF-SECONDARY||||JU103/GE1N/GSVLFLANAMD/GSVLFLSTW02|JU103/GE1N/GSVLFLANAC2/GSVLFLSTW02|CIENA NTE|N||4092|9||1|GSVLFLANAMD|JUNIPER MX SERIES|10.204.243.113|143.0.68.239||ge-2/2/1|||NNI
10.204.9.185/5|10.204.9.185/5|10.204.9.185/5|NFO-MOBILITYUNI|NTE|NTE|true|B|||10|31/KRFN/899130/SB|||CIENA NTE|Y|||5||0|||||||||UNI
10.204.9.92/1|10.204.9.92/1|10.204.9.92/1|NFO-MOBILITY|NTE|NTE|true|B|||||JU102/GE1N/DYBHFLMAST3/DYBHFLMAW28||CIENA EMUX|Y||4092|1||0|DYBHFLMAST3|CIENA NTE|10.204.9.31|||25|||NNI
10.204.82.128/25|10.204.82.128/25|10.204.82.128/25|NFO-MOBILITY|NTE|NTE|true|S|||||101/GE1N/RENONVYAOPU/RENONVYAY3Q||CIENA NTE|Y||4092|25||0|RENONVYAY3Q|JUNIPER MX SERIES|12.122.123.213|148.0.131.182||ge-4/0/7|||NNI
10.204.67.185/9|10.204.67.185/9|10.204.67.185/9|NFO-MOBILITY|NTE|NTE|true|B|||||JU101/GE1N/DYBHFLMCN30/DYBHFLMCV01||CIENA NTE|Y||4092|9||1|DYBHFLMCV01|JUNIPER MX SERIES|10.204.243.44|143.0.68.172||ge-4/2/1|||NNI
10.204.132.144/10|10.204.132.144/10|10.204.132.144/10|NFO-MOBILITY|NTE|NTE|true|B|||||E102M/GE1N/GSVLFLSTW12/GSVLFLST5MD||CIENA NTE|N||4092|10||1|GSVLFLST5MD|JUNIPER MX SERIES|10.204.243.86|143.0.68.212||ge-5/0/1|||NNI
10.204.9.111/9|10.204.9.111/9|10.204.9.111/9|NFO-MOBILITYUNI|NTE|NTE|true|B|||11|82/KSGN/900004/SB|||CIENA NTE|Y|||9||0|||||||||UNI
10.204.83.217/SM-B/1|10.204.83.217/SM-B/1|10.204.83.217/SM-B/1|NFO-TA5000|TA5000|NTE|true|S|||||A102B/GE1N/CRCYNVMAH03/CRCYNVMAH55||ADTRAN 5000 SERIES||||1||1|CRCYNVMAH03|JUNIPER MX SERIES|143.1.33.21|143.0.68.34||ge-1/0/5|||NNI
10.204.9.68/25|10.204.9.68/25|10.204.9.68/25|NFO-MOBILITY|NTE|NTE|true|B|||||JU102/GE1N/DYBHFLMAWAU/DYBHFLMAW27||CIENA NTE|Y||4092|25||1|DYBHFLMAW27|JUNIPER MX SERIES|10.204.242.44|149.9.0.27||ge-0/0/1|||NNI
10.204.85.55/10|10.204.85.55/10|10.204.85.55/10|NFO-MOBILITY|NTE|NTE|true|S|||||JU102/GE1N/CRCYNVMAD01/CRCYNVMAZSB||CIENA NTE|Y|||10||1|CRCYNVMAD01|JUNIPER MX SERIES|10.204.242.115|149.0.3.196||ge-5/0/9|4091||NNI
10.204.65.153/27|10.204.65.153/27|10.204.65.153/27|NTE-CFO|IPAG|NTE|true|B|||25|01/KRFN/112565/SB|||CIENA NTE|Y|||27||0|||||||||UNI
