@rel(Composed_Of)
@from(PE_LPort)key|@to(EVCNode)key
150.0.0.10/2/0/3/6016|150.0.0.10/VPLS:31589
78.23.44.28/1/0/1/1|78.23.44.28/VPLS:17349
8.8.0.154/3/1/0/16|8.8.0.154/L2CKT:63245
149.0.3.222/2/2/0/6002|149.0.3.222/L2CKT:28111
12.123.80.197/0/0/2/6001|12.123.80.197/L2CKT:22016
149.0.3.222/2/2/0/6005|149.0.3.222/VPLS:28207
12.123.80.27/2/0/3/6023|12.123.80.27/VPWS:22831
149.0.3.222/2/1/2/6002|149.0.3.222/L2CKT:28057
12.82.0.53/3/0/0/2|12.82.0.53/VPLS:52165
143.0.68.184/0/0/5/6009|143.0.68.184/VPWS:29006
10.144.0.65/5/2/0/6002|10.144.0.65/VPLS:22768
143.0.68.245/6/3/3/6000|143.0.68.245/VPLS:31584
148.0.131.182/4/1/6/6027|148.0.131.182/VPLS:23749
10.144.0.137/1/3/5/2089|10.144.0.137/L2CKT:2351
143.0.68.230/2/2/0/6014|143.0.68.230/VPWS:29468
12.123.80.214/4/2/4/6001|12.123.80.214/VPLS:28750
10.0.40.36/1/0/1/4|10.0.40.36/VPWS:30158
10.144.0.137/2/0/0/6002|10.144.0.137/VPLS:29611
143.0.24.129/3/1/4/6001|143.0.24.129/VPWS:31732
10.24.76.145/0/0/4/2|10.24.76.145/VPLS:19561
148.0.131.204/5/0/0/6032|148.0.131.204/VPLS:25927
143.0.68.168/1/0/7/6005|143.0.68.168/VPLS:28992
10.144.0.147/1/0/0/6006|10.144.0.147/VPWS:27749
143.0.24.168/3/0/4/6000|143.0.24.168/VPLS:32481
149.0.3.222/2/0/1/6000|149.0.3.222/VPLS:27924
8.8.0.154/0/0/3/3|8.8.0.154/VPLS:63260
10.144.0.147/1/0/0/6024|10.144.0.147/VPWS:31301
12.123.80.17/2/0/8/6010|12.123.80.17/VPWS:22613
143.0.68.184/0/2/2/6000|143.0.68.184/L2CKT:30939
143.0.68.170/1/0/5/6002|143.0.68.170/VPLS:28839
12.123.80.27/2/0/3/6005|12.123.80.27/26453
10.144.0.147/1/0/0/6004|10.144.0.147/L2CKT:26983
143.0.24.148/4/0/9/6014|143.0.24.148/VPLS:31888
143.0.68.184/0/1/6/6021|143.0.68.184/VPLS:30435
