@ref(networkElement)|@const(IpagTunnel)class
@index(Tunnel)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|tunnel_type|device_name|device_model|device_type|ptnii|tunnel_alias|tunnel_head_ptnii|tunnel_name|tunnel_tail_dns|tunnel_tail_ptnii
10.144.0.122/PE9_PE14_B_2_1_1_BYPASS|10.144.0.122/PE9_PE14_B_2_1_1_BYPASS|10.144.0.122/PE9_PE14_B_2_1_1_BYPASS|||IPAG|||B|SNJSCA021IW|MX480|JUNIPER MX SERIES|SNACA301IA1||snaca301ia1|PE9_PE14_B_2_1_1_BYPASS|PE14|sndca301ia2
10.144.0.113/PE15_PE10_P_2_15_2_DEFAULT|10.144.0.113/PE15_PE10_P_2_15_2_DEFAULT|10.144.0.113/PE15_PE10_P_2_15_2_DEFAULT|||IPAG|||P|SNJSCA1225W|MX960|JUNIPER MX SERIES|SNBCA301IA2||snbca301ia2|PE15_PE10_P_2_15_2_DEFAULT|PE10|snaca302ia1
10.144.0.214/chgil304mp2_chgil304vr1_P_2_5_1_PRIORITY|10.144.0.214/chgil304mp2_chgil304vr1_P_2_5_1_PRIORITY|10.144.0.214/chgil304mp2_chgil304vr1_P_2_5_1_PRIORITY|||MPCIO|||P|ORLDFLSA1UW|MX2010|JUNIPER MX SERIES|ORAFL301MP2||orafl301mp2|chgil304mp2_chgil304vr1_P_2_5_1_PRIORITY|chgil304vr1|chgil304vr1
10.144.0.113/PE15_PE22_P_2_15_2_DEFAULT|10.144.0.113/PE15_PE22_P_2_15_2_DEFAULT|10.144.0.113/PE15_PE22_P_2_15_2_DEFAULT|||IPAG|||P|SNJSCA1225W|MX960|JUNIPER MX SERIES|SNBCA301IA2||snbca301ia2|PE15_PE22_P_2_15_2_DEFAULT|PE22|snaca306ia2
10.144.0.114/chgil311ia1_chgil301mp1_B_2_1_1_BYPASS|10.144.0.114/chgil311ia1_chgil301mp1_B_2_1_1_BYPASS|10.144.0.114/chgil311ia1_chgil301mp1_B_2_1_1_BYPASS|||IPAG|||B|ORLDFLSA1AW|MX960|JUNIPER MX SERIES|ORAFL301IA2||orafl301ia2|chgil311ia1_chgil301mp1_B_2_1_1_BYPASS|chgil301mp1|ormfl301mp1
192.168.119.40/tunnel_te50004|192.168.119.40/tunnel_te50004|192.168.119.40/tunnel_te50004|||OEW-VPLS|||P|ORLDFLMADC8|JUNIPER MX960|VR1|ORMFL306VR1||ormfl306vr1|tunnel_te50004|te50004|chgil302vr1
10.144.0.211/chgil301mp1_chgil302mp2_B_2_1_1_BYPASS|10.144.0.211/chgil301mp1_chgil302mp2_B_2_1_1_BYPASS|10.144.0.211/chgil301mp1_chgil302mp2_B_2_1_1_BYPASS|||MPCIO|||B|ORLDFLMA3AW|MX2020|JUNIPER MX SERIES|ORMFL301MP1||ormfl301mp1|chgil301mp1_chgil302mp2_B_2_1_1_BYPASS|chgil302mp2|orpfl302mp2
135.16.241.28/PE6-2-chcrs1-primary|135.16.241.28/PE6-2-chcrs1-primary|135.16.241.28/PE6-2-chcrs1-primary|||OEW-VPLS|||P|ORLDFLMADC8|JUNIPER MX960|VR1|ORMFL303VR1||ormfl303vr1|PE6-2-chcrs1-primary||ormfl01crs
10.144.0.112/PE14_PE16_P_2_5_1_PRIORITY|10.144.0.112/PE14_PE16_P_2_5_1_PRIORITY|10.144.0.112/PE14_PE16_P_2_5_1_PRIORITY|||IPAG|||P|SNTCCA010DW|MX960|JUNIPER MX SERIES|SNDCA301IA2||sndca301ia2|PE14_PE16_P_2_5_1_PRIORITY|PE16|orafl301ia2
10.144.0.112/PE14_PE15_P_2_15_2_DEFAULT|10.144.0.112/PE14_PE15_P_2_15_2_DEFAULT|10.144.0.112/PE14_PE15_P_2_15_2_DEFAULT|||IPAG|||P|SNTCCA010DW|MX960|JUNIPER MX SERIES|SNDCA301IA2||sndca301ia2|PE14_PE15_P_2_15_2_DEFAULT|PE15|snbca301ia2
