@rel(Composed_Of)
@from(PE_Device)key|@to(PE_Slot)key
12.80.0.209|12.80.0.209/5
10.0.36.23|10.0.36.23/4
149.0.3.138|149.0.3.138/4
143.0.68.43|143.0.68.43/0
143.0.68.233|143.0.68.233/0
12.123.68.5|12.123.68.5/0
10.0.36.7|10.0.36.7/0
12.123.68.6|12.123.68.6/9
149.9.0.15|149.9.0.15/2
12.123.80.179|12.123.80.179/4
149.4.64.15|149.4.64.15/1
12.122.72.161|12.122.72.161/1
12.80.72.82|12.80.72.82/5
12.80.72.126|12.80.72.126/0
12.80.0.211|12.80.0.211/3
143.0.68.244|143.0.68.244/1
12.122.72.114|12.122.72.114/5
10.0.36.24|10.0.36.24/1
12.80.72.98|12.80.72.98/4
10.0.36.75|10.0.36.75/7
149.0.3.250|149.0.3.250/5
150.0.0.64|150.0.0.64/3
143.0.24.144|143.0.24.144/0
143.0.68.243|143.0.68.243/1
10.0.40.36|10.0.40.36/0
148.0.131.231|148.0.131.231/5
8.8.0.152|8.8.0.152/5
8.8.0.169|8.8.0.169/1
12.123.80.71|12.123.80.71/1
148.0.131.248|148.0.131.248/0
149.8.0.161|149.8.0.161/0
10.0.38.49|10.0.38.49/0
149.8.0.21|149.8.0.21/0
149.8.0.163|149.8.0.163/1
149.8.0.128|149.8.0.128/0
143.0.24.49|143.0.24.49/0
8.8.0.167|8.8.0.167/3
12.123.80.5|12.123.80.5/1
10.0.38.47|10.0.38.47/0
143.0.68.230|143.0.68.230/8
143.0.68.227|143.0.68.227/7
10.144.0.62|10.144.0.62/8
12.80.68.140|12.80.68.140/0
143.0.68.24|143.0.68.24/5
149.0.3.194|149.0.3.194/0
8.8.0.217|8.8.0.217/1
12.123.80.63|12.123.80.63/2
8.8.1.5|8.8.1.5/2
149.4.64.5|149.4.64.5/8
12.80.72.39|12.80.72.39/1
150.0.0.201|150.0.0.201/1
10.0.32.64|10.0.32.64/2
143.0.68.51|143.0.68.51/2
10.0.32.64|10.0.32.64/1
12.123.80.181|12.123.80.181/1
149.9.0.128|149.9.0.128/0
150.0.0.120|150.0.0.120/2
10.0.36.68|10.0.36.68/2
148.0.131.197|148.0.131.197/0
149.9.0.32|149.9.0.32/0
8.8.0.166|8.8.0.166/1
149.8.0.12|149.8.0.12/1
10.0.36.76|10.0.36.76/9
149.4.24.1|149.4.24.1/1
150.0.0.190|150.0.0.190/0
148.0.131.227|148.0.131.227/2
10.0.36.21|10.0.36.21/10
12.123.80.71|12.123.80.71/0
149.0.3.159|149.0.3.159/1
10.144.0.113|10.144.0.113/5
12.80.68.138|12.80.68.138/1
143.0.68.195|143.0.68.195/4
143.0.68.167|143.0.68.167/1
10.144.0.137|10.144.0.137/2
12.123.80.122|12.123.80.122/2
12.123.80.106|12.123.80.106/1
150.0.0.218|150.0.0.218/0
149.0.17.1|149.0.17.1/0
149.0.3.210|149.0.3.210/5
149.4.64.14|149.4.64.14/1
12.123.80.77|12.123.80.77/1
12.123.80.56|12.123.80.56/1
10.144.0.137|10.144.0.137/0
150.0.0.218|150.0.0.218/1
12.82.0.63|12.82.0.63/4
8.8.0.232|8.8.0.232/0
10.0.36.73|10.0.36.73/8
12.123.80.215|12.123.80.215/4
143.0.24.170|143.0.24.170/4
10.0.36.14|10.0.36.14/7
12.123.80.114|12.123.80.114/1
143.0.24.216|143.0.24.216/3
10.0.36.21|10.0.36.21/8
12.80.72.27|12.80.72.27/0
10.0.38.121|10.0.38.121/2
12.123.80.86|12.123.80.86/2
10.0.34.15|10.0.34.15/9
149.8.0.18|149.8.0.18/5
8.8.0.220|8.8.0.220/1
8.8.0.169|8.8.0.169/0
150.0.0.144|150.0.0.144/0
148.0.131.129|148.0.131.129/1
149.0.3.244|149.0.3.244/3
143.0.24.131|143.0.24.131/2
149.4.24.1|149.4.24.1/2
143.0.24.162|143.0.24.162/2
12.80.72.9|12.80.72.9/1
12.80.84.8|12.80.84.8/0
149.4.64.7|149.4.64.7/0
8.8.0.173|8.8.0.173/2
8.8.0.168|8.8.0.168/2
143.0.68.212|143.0.68.212/5
10.0.36.75|10.0.36.75/2
12.123.80.195|12.123.80.195/0
12.123.80.54|12.123.80.54/1
148.0.131.205|148.0.131.205/1
12.123.80.127|12.123.80.127/4
12.122.72.167|12.122.72.167/0
10.0.36.28|10.0.36.28/1
150.0.0.212|150.0.0.212/5
150.0.0.154|150.0.0.154/0
12.123.80.198|12.123.80.198/1
12.122.72.160|12.122.72.160/0
149.0.3.198|149.0.3.198/3
149.0.3.226|149.0.3.226/4
143.0.68.226|143.0.68.226/0
8.8.0.166|8.8.0.166/0
150.0.0.149|150.0.0.149/1
10.144.0.137|10.144.0.137/1
10.144.0.113|10.144.0.113/1
148.0.131.235|148.0.131.235/1
143.0.68.23|143.0.68.23/4
149.0.3.204|149.0.3.204/0
148.0.131.182|148.0.131.182/3
149.0.3.138|149.0.3.138/0
12.123.80.197|12.123.80.197/1
12.80.0.209|12.80.0.209/4
12.123.80.46|12.123.80.46/5
12.80.84.26|12.80.84.26/1
143.0.68.21|143.0.68.21/2
149.4.64.2|149.4.64.2/0
143.0.68.67|143.0.68.67/2
12.123.80.176|12.123.80.176/0
149.4.64.12|149.4.64.12/5
12.123.80.115|12.123.80.115/2
12.123.80.228|12.123.80.228/1
10.0.36.14|10.0.36.14/3
12.123.80.157|12.123.80.157/1
150.0.0.147|150.0.0.147/3
143.0.68.241|143.0.68.241/3
149.0.3.198|149.0.3.198/1
143.0.68.240|143.0.68.240/2
10.0.36.14|10.0.36.14/5
