@rel(Composed_Of)
@from(PE_Card)key|@to(PE_PPort)key
12.82.8.82/5/1|12.82.8.82/5/1/2
12.82.16.89/3/2|12.82.16.89/3/2/7
12.82.78.20/5/0|12.82.78.20/5/0/1
12.122.121.140/1/3|12.122.121.140/1/3/0
12.82.127.192/11/2|12.82.127.192/11/2/0
10.144.0.154/3/1|10.144.0.154/3/1/0
12.82.109.2/2/1|12.82.109.2/2/1/6
12.82.56.6/3/0|12.82.56.6/3/0/4
12.82.8.94/9/1|12.82.8.94/9/1/0
12.122.122.225/8/0|12.122.122.225/8/0/0
12.82.90.11/9/3|12.82.90.11/9/3/4
12.82.96.19/3/1|12.82.96.19/3/1/0
12.123.80.29/1/0|12.123.80.29/1/0/7
12.82.118.19/3/0|12.82.118.19/3/0/7
12.83.165.25/1/0|12.83.165.25/1/0/1
12.82.90.23/7/0|12.82.90.23/7/0/0
12.122.122.58/4/0|12.122.122.58/4/0/3
135.16.241.28/4/2|135.16.241.28/4/2/7
12.83.164.90/5/1|12.83.164.90/5/1/0
12.82.0.62/1/3|12.82.0.62/1/3/6
12.82.63.2/7/0|12.82.63.2/7/0/3
12.122.122.132/7/0|12.122.122.132/7/0/1
12.82.80.26/2/1|12.82.80.26/2/1/4
12.82.68.1/10/1|12.82.68.1/10/1/6
12.82.138.16/2/0|12.82.138.16/2/0/6
12.82.24.66/9/0|12.82.24.66/9/0/7
12.122.122.40/4/0|12.122.122.40/4/0/9
12.122.120.202/2/1|12.122.120.202/2/1/3
12.82.104.10/2/1|12.82.104.10/2/1/9
12.82.49.74/3/0|12.82.49.74/3/0/4
12.122.120.173/4/3|12.122.120.173/4/3/0
12.122.120.187/2/1|12.122.120.187/2/1/1
12.82.63.2/7/0|12.82.63.2/7/0/7
12.82.102.1/10/2|12.82.102.1/10/2/6
12.82.80.19/2/1|12.82.80.19/2/1/0
12.82.0.49/2/0|12.82.0.49/2/0/3
12.82.16.64/3/1|12.82.16.64/3/1/2
12.122.122.163/7/0|12.122.122.163/7/0/1
12.82.16.57/10/1|12.82.16.57/10/1/0
12.82.74.27/2/1|12.82.74.27/2/1/2
12.123.80.29/1/0|12.123.80.29/1/0/2
12.82.0.95/3/1|12.82.0.95/3/1/7
12.82.16.104/0/0|12.82.16.104/0/0/0
12.82.8.90/2/3|12.82.8.90/2/3/0
12.82.40.104/2/0|12.82.40.104/2/0/6
143.0.24.98/1/2|143.0.24.98/1/2/1
12.122.124.68/4/3|12.122.124.68/4/3/0
12.82.40.93/2/3|12.82.40.93/2/3/1
150.0.0.131/0/3|150.0.0.131/0/3/2
