@rel(Composed_Of)
@from(PE_PPort)key|@to(PE_LPort)key
12.123.80.92/5/0/1|12.123.80.92/5/0/1/8
12.122.72.115/4/0/1|12.122.72.115/4/0/1/2
10.0.40.33/1/0/3|10.0.40.33/1/0/3/2
12.123.80.194/0/0/1|12.123.80.194/0/0/1/5
10.0.36.73/5/0/5|10.0.36.73/5/0/5/1
10.144.0.147/1/0/0|10.144.0.147/1/0/0/6019
12.82.0.53/3/0/0|12.82.0.53/3/0/0/70
12.82.0.55/5/0/2|12.82.0.55/5/0/2/10
10.0.36.72/2/0/3|10.0.36.72/2/0/3/2
10.0.36.77/1/2/2|10.0.36.77/1/2/2/1
149.0.3.196/0/0/8|149.0.3.196/0/0/8/6008
10.0.8.124/4/0/2|10.0.8.124/4/0/2/13
143.0.68.230/2/2/0|143.0.68.230/2/2/0/6000
10.0.36.21/2/3/3|10.0.36.21/2/3/3/0
12.123.80.156/4/0/7|12.123.80.156/4/0/7/23
12.122.72.113/1/1/0|12.122.72.113/1/1/0/1
12.80.72.121/4/0/1|12.80.72.121/4/0/1/7
10.0.38.73/1/0/0|10.0.38.73/1/0/0/4
10.0.8.124/4/1/1|10.0.8.124/4/1/1/3
12.123.80.58/1/0/1|12.123.80.58/1/0/1/3
143.0.68.35/1/0/7|143.0.68.35/1/0/7/17
12.123.80.91/2/0/0|12.123.80.91/2/0/0/2
148.0.131.182/4/1/6|148.0.131.182/4/1/6/6041
143.0.24.102/0/1/7|143.0.24.102/0/1/7/76
12.122.72.112/2/0/3|12.122.72.112/2/0/3/1
143.0.68.230/2/2/3|143.0.68.230/2/2/3/6015
10.0.36.21/9/0/1|10.0.36.21/9/0/1/1
10.0.36.78/5/0/3|10.0.36.78/5/0/3/2
12.82.0.55/5/0/0|12.82.0.55/5/0/0/3
143.0.68.92/0/1/0|143.0.68.92/0/1/0/6
12.123.80.157/5/3/9|12.123.80.157/5/3/9/2
12.80.72.11/5/0/5|12.80.72.11/5/0/5/2
8.8.0.171/5/0/2|8.8.0.171/5/0/2/12
148.0.131.239/5/0/0|148.0.131.239/5/0/0/6053
10.0.40.42/1/0/0|10.0.40.42/1/0/0/3
148.0.131.239/5/0/0|148.0.131.239/5/0/0/6091
143.0.68.184/0/1/6|143.0.68.184/0/1/6/6042
148.0.131.204/5/0/0|148.0.131.204/5/0/0/6058
10.0.40.35/2/0/0|10.0.40.35/2/0/0/6
149.4.64.5/1/2/2|149.4.64.5/1/2/2/1
10.0.40.4/0/2/0|10.0.40.4/0/2/0/13
10.144.0.154/1/2/4|10.144.0.154/1/2/4/6021
10.204.242.50/GigabitEthernet0/0|10.204.242.50/GigabitEthernet0/0/1
12.122.72.115/1/0/4|12.122.72.115/1/0/4/3
88.33.55.4/3/0/6|88.33.55.4/3/0/6/1
10.0.36.76/2/0/1|10.0.36.76/2/0/1/1
10.144.0.136/5/1/0|10.144.0.136/5/1/0/6003
10.0.8.124/4/2/7|10.0.8.124/4/2/7/0
150.0.0.153/1/0/1|150.0.0.153/1/0/1/6004
149.8.0.128/0/0/0|149.8.0.128/0/0/0/2
10.0.8.124/4/0/2|10.0.8.124/4/0/2/4
